classe,arquivo_original,formato_saida,parametro_compressao,arquivo_saida,tamanho_kb,erro_medio,psnr_db,diferenca_visual,impacto_em_pdi
fpga,fpga_01.jpg,JPEG,qualidade_60,dataset\derivadas\formatos\fpga\fpga_01_q60.jpg,1529.88,3.3627,35.16,Visual geral preservado com perda em inscrições e bordas finas,Econômico para armazenamento mas pode alterar características pequenas
fpga,fpga_01.jpg,PNG,sem_perdas,dataset\derivadas\formatos\fpga\fpga_01_sem_perdas.png,14085.31,0.0,inf,Idêntico à matriz de referência após decodificação,Mais seguro para medição e inspeção apesar do maior tamanho
contrabaixo,contrabaixo_01.jpg,JPEG,qualidade_60,dataset\derivadas\formatos\contrabaixo\contrabaixo_01_q60.jpg,741.61,1.9552,39.74,Diferença pouco perceptível no conjunto com suavização localizada,Adequado para classificação geral e compartilhamento
contrabaixo,contrabaixo_01.jpg,PNG,sem_perdas,dataset\derivadas\formatos\contrabaixo\contrabaixo_01_sem_perdas.png,10322.27,0.0,inf,Sem diferença numérica em relação à referência,Adequado quando os pixels precisam ser preservados exatamente
