classe,arquivo_original,escala_percentual,arquivo_saida,largura_px,altura_px,total_pixels,pixels_relativos_percentual,reducao_pixels_percentual,tamanho_kb,perda_detalhe_observada,impacto_em_visao_computacional
fpga,fpga_01.jpg,100,dataset\originais\fpga\fpga_01.jpg,4000,3000,12000000,100,0,4661.73,Referência com textos e componentes nítidos,Adequada para inspeção de componentes pequenos
fpga,fpga_01.jpg,50,dataset\derivadas\resolucao\fpga\fpga_01_50.png,2000,1500,3000000,25,75,4491.16,Pequena suavização em inscrições e pinos,Preserva reconhecimento e boa parte dos detalhes
fpga,fpga_01.jpg,20,dataset\derivadas\resolucao\fpga\fpga_01_20.png,800,600,480000,4,96,878.87,Textos pequenos e terminais perdem nitidez,Adequada para classificação geral mas limitada para inspeção
contrabaixo,contrabaixo_01.jpg,100,dataset\originais\contrabaixo\contrabaixo_01.jpg,3000,4000,12000000,100,0,2819.24,Referência com cordas e acabamento nítidos,Adequada para forma e detalhes finos
contrabaixo,contrabaixo_01.jpg,50,dataset\derivadas\resolucao\contrabaixo\contrabaixo_01_50.png,1500,2000,3000000,25,75,3310.24,Leve suavização sem perda da silhueta,Preserva classe e elementos estruturais principais
contrabaixo,contrabaixo_01.jpg,20,dataset\derivadas\resolucao\contrabaixo\contrabaixo_01_20.png,600,800,480000,4,96,656.6,Textura da madeira e detalhes dos controles ficam reduzidos,Adequada para reconhecer o instrumento mas não para detalhes
